schema_version,sample_id,source_group,sequence_id,split,action_code,dive_score,difficulty,start_frame,end_frame,macro_transition_1,macro_transition_2,fine_transition_count,fine_transitions,phase_label_count,phase_labels,judge_scores,execution_scores,synchronisation_scores,live_path,live_frames,live_first_frame,live_last_frame,replay1_path,replay1_frames,replay1_first_frame,replay1_last_frame,live_mask_path,live_mask_frames,live_mask_aligned,replay2_path,replay2_frames,replay2_available,mask_provenance,issues,replay1_mask_path,mask_role,replay1_mask_aligned
2.0,Synchro_001/10,Synchro_001,10,test,405b,71.1,3.0,41414,41527,40,78,2,"[40, 78]",114,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]","[8.0, 7.5, 8.0, 8.0, 8.0]","[8.0, 7.5]","[8.0, 8.0, 8.0]",rgb/live/Synchro_001/10,114,041414.jpg,041527.jpg,rgb/replay1/Synchro_001/10,118,042191.jpg,042308.jpg,masks/live/Synchro_001/10,114,True,,0,False,unknown_existing_segmentation_output,[],masks/replay1/Synchro_001/10,predicted_input,True
2.0,Synchro_001/11,Synchro_001,11,test,405c,48.6,2.7,43618,43738,43,79,2,"[43, 79]",121,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]","[6.0, 6.0, 6.0, 6.0, 6.0]","[6.0, 6.0]","[6.0, 6.0, 6.0]",rgb/live/Synchro_001/11,121,043618.jpg,043738.jpg,rgb/replay1/Synchro_001/11,161,043994.jpg,044154.jpg,masks/live/Synchro_001/11,121,True,Trimmed_Diving_Video_Frames/TEMP_LIVE/Replay2/Synchro_001/11,169,True,unknown_existing_segmentation_output,[],masks/replay1/Synchro_001/11,predicted_input,True
2.0,Synchro_001/12,Synchro_001,12,train,5152b,56.7,3.0,45418,45543,39,84,4,"[39, 56, 73, 84]",126,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]","[6.5, 5.5, 6.5, 6.5, 6.5]","[6.5, 5.5]","[6.5, 6.5, 6.5]",rgb/live/Synchro_001/12,126,045418.jpg,045543.jpg,rgb/replay1/Synchro_001/12,226,045811.jpg,046036.jpg,masks/live/Synchro_001/12,126,True,,0,False,unknown_existing_segmentation_output,[],masks/replay1/Synchro_001/12,predicted_input,True
2.0,Synchro_001/13,Synchro_001,13,train,5152b,63.9,3.0,47362,47477,38,82,4,"[38, 54, 68, 82]",116,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]","[6.5, 6.5, 7.5, 7.5, 7.5]","[6.5, 6.5]","[7.5, 7.5, 7.5]",rgb/live/Synchro_001/13,116,047362.jpg,047477.jpg,rgb/replay1/Synchro_001/13,183,047732.jpg,047914.jpg,masks/live/Synchro_001/13,116,True,Trimmed_Diving_Video_Frames/TEMP_LIVE/Replay2/Synchro_001/13,242,True,unknown_existing_segmentation_output,[],masks/replay1/Synchro_001/13,predicted_input,True
2.0,Synchro_001/14,Synchro_001,14,train,305b,37.8,3.0,51166,51291,40,82,2,"[40, 82]",126,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]","[3.5, 4.0, 4.5, 4.5, 4.5]","[3.5, 4.0]","[4.5, 4.5, 4.5]",rgb/live/Synchro_001/14,126,051166.jpg,051291.jpg,rgb/replay1/Synchro_001/14,228,051869.jpg,052096.jpg,masks/live/Synchro_001/14,126,True,,0,False,unknown_existing_segmentation_output,[],masks/replay1/Synchro_001/14,predicted_input,True
2.0,Synchro_001/15,Synchro_001,15,test,107b,78.12,3.1,53320,53439,40,85,2,"[40, 85]",120,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]","[8.0, 8.5, 8.5, 8.5, 8.5]","[8.0, 8.5]","[8.5, 8.5, 8.5]",rgb/live/Synchro_001/15,120,053320.jpg,053439.jpg,rgb/replay1/Synchro_001/15,176,053681.jpg,053856.jpg,masks/live/Synchro_001/15,120,True,,0,False,unknown_existing_segmentation_output,[],masks/replay1/Synchro_001/15,predicted_input,True
2.0,Synchro_001/16,Synchro_001,16,test,205c,58.8,2.8,55327,55451,42,81,2,"[42, 81]",125,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]","[6.5, 7.5, 7.0, 7.0, 7.0]","[6.5, 7.5]","[7.0, 7.0, 7.0]",rgb/live/Synchro_001/16,125,055327.jpg,055451.jpg,rgb/replay1/Synchro_001/16,156,055647.jpg,055802.jpg,masks/live/Synchro_001/16,125,True,Trimmed_Diving_Video_Frames/TEMP_LIVE/Replay2/Synchro_001/16,211,True,unknown_existing_segmentation_output,[],masks/replay1/Synchro_001/16,predicted_input,True
2.0,Synchro_001/17,Synchro_001,17,train,107b,66.03,3.1,57219,57337,41,86,2,"[41, 86]",119,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]","[7.5, 7.0, 7.0, 7.0, 7.0]","[7.5, 7.0]","[7.0, 7.0, 7.0]",rgb/live/Synchro_001/17,119,057219.jpg,057337.jpg,rgb/replay1/Synchro_001/17,173,057615.jpg,057787.jpg,masks/live/Synchro_001/17,119,True,Trimmed_Diving_Video_Frames/TEMP_LIVE/Replay2/Synchro_001/17,260,True,unknown_existing_segmentation_output,[],masks/replay1/Synchro_001/17,predicted_input,True
2.0,Synchro_001/18,Synchro_001,18,train,107b,57.66,3.1,59168,59285,38,82,2,"[38, 82]",118,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]","[5.5, 6.0, 6.5, 6.5, 6.5]","[5.5, 6.0]","[6.5, 6.5, 6.5]",rgb/live/Synchro_001/18,118,059168.jpg,059285.jpg,rgb/replay1/Synchro_001/18,311,059536.jpg,059846.jpg,masks/live/Synchro_001/18,118,True,Trimmed_Diving_Video_Frames/TEMP_LIVE/Replay2/Synchro_001/18,212,True,unknown_existing_segmentation_output,[],masks/replay1/Synchro_001/18,predicted_input,True
2.0,Synchro_001/19,Synchro_001,19,train,5152b,49.5,3.0,63366,63490,38,84,4,"[38, 60, 75, 84]",125,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 15, 15, 15, 15, 15, 15, 15, 15, 15, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]","[3.5, 6.5, 5.5, 6.0, 6.0]","[3.5, 6.5]","[5.5, 6.0, 6.0]",rgb/live/Synchro_001/19,125,063366.jpg,063490.jpg,rgb/replay1/Synchro_001/19,210,064041.jpg,064250.jpg,masks/live/Synchro_001/19,125,True,,0,False,unknown_existing_segmentation_output,[],masks/replay1/Synchro_001/19,predicted_input,True
2.0,Synchro_001/20,Synchro_001,20,train,5152b,80.1,3.0,65441,65560,38,84,4,"[38, 55, 69, 84]",120,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]","[9.0, 8.5, 9.0, 9.0, 9.0]","[9.0, 8.5]","[9.0, 9.0, 9.0]",rgb/live/Synchro_001/20,120,065441.jpg,065560.jpg,rgb/replay1/Synchro_001/20,145,066076.jpg,066220.jpg,masks/live/Synchro_001/20,120,True,,0,False,unknown_existing_segmentation_output,[],masks/replay1/Synchro_001/20,predicted_input,True
